country,new_cases_per_million,start_of_week,code
Afghanistan,0.021428571,2020-02-24,AFG
Afghanistan,0.150142857,2020-03-02,AFG
Afghanistan,0.366,2020-03-09,AFG
Afghanistan,1.298,2020-03-16,AFG
Afghanistan,3.579142857,2020-03-23,AFG
Afghanistan,5.820428571,2020-03-30,AFG
Afghanistan,8.441857143,2020-04-06,AFG
Afghanistan,9.994571429,2020-04-13,AFG
Afghanistan,20.39828571,2020-04-20,AFG
Afghanistan,32.58042857,2020-04-27,AFG
Afghanistan,57.18157143,2020-05-04,AFG
Afghanistan,80.17642857,2020-05-11,AFG
Afghanistan,110.2178571,2020-05-18,AFG
Afghanistan,124.6054286,2020-05-25,AFG
Afghanistan,119.5024286,2020-06-01,AFG
Afghanistan,110.4325714,2020-06-08,AFG
Afghanistan,71.376,2020-06-15,AFG
Afghanistan,50.37142857,2020-06-22,AFG
Afghanistan,44.33642857,2020-06-29,AFG
Afghanistan,30.50742857,2020-07-06,AFG
Afghanistan,20.59171429,2020-07-13,AFG
Afghanistan,16.73314286,2020-07-20,AFG
Afghanistan,9.259714286,2020-07-27,AFG
Afghanistan,12.487,2020-08-03,AFG
Afghanistan,9.274,2020-08-10,AFG
Afghanistan,8.897142857,2020-08-17,AFG
Afghanistan,4.095428571,2020-08-24,AFG
Afghanistan,7.94,2020-08-31,AFG
Afghanistan,7.412571429,2020-09-07,AFG
Afghanistan,6.921285714,2020-09-14,AFG
Afghanistan,3.170285714,2020-09-21,AFG
Afghanistan,8.222857143,2020-09-28,AFG
Afghanistan,10.63342857,2020-10-05,AFG
Afghanistan,10.94485714,2020-10-12,AFG
Afghanistan,14.66014286,2020-10-19,AFG
Afghanistan,16.65785714,2020-10-26,AFG
Afghanistan,20.47014286,2020-11-02,AFG
Afghanistan,32.16428571,2020-11-09,AFG
Afghanistan,38.32528571,2020-11-16,AFG
Afghanistan,38.42242857,2020-11-23,AFG
Afghanistan,38.64842857,2020-11-30,AFG
Afghanistan,36.24557143,2020-12-07,AFG
Afghanistan,34.49557143,2020-12-14,AFG
Afghanistan,26.61671429,2020-12-21,AFG
Afghanistan,20.91085714,2020-12-28,AFG
Afghanistan,13.93971429,2021-01-04,AFG
Afghanistan,14.99385714,2021-01-11,AFG
Afghanistan,12.96742857,2021-01-18,AFG
Afghanistan,8.528142857,2021-01-25,AFG
Afghanistan,5.235571429,2021-02-01,AFG
Afghanistan,3.274285714,2021-02-08,AFG
Afghanistan,2.998,2021-02-15,AFG
